category,product_name,color,rule_name,term_months,check_cycle_months,rental_fee,commission
정수기,아이스트리플리얼냉온,베이지.다크레이,S,60,4,43900,22
정수기,아이스트리플리얼냉온,베이지.다크레이,S,36,4,49900,"19,5"
정수기,아이스트리플리얼냉온,베이지.다크레이,P,60,4,41900,21.2
정수기,아이스트리플리얼냉온,베이지.다크레이,P,36,4,47900,18.5
정수기,아이스트리플리얼냉온,베이지.다크레이,J,60,4,37900,6.4
정수기,아이스트리플리얼냉온,베이지.다크레이,J,36,4,43900,5
정수기,아이스트리플리얼냉정,베이지.다크레이,S,60,4,43900,21.2
정수기,아이스트리플리얼냉정,베이지.다크레이,S,36,4,49900,20.5
정수기,아이스트리플리얼냉정,베이지.다크레이,P,60,4,41900,20.4
정수기,아이스트리플리얼냉정,베이지.다크레이,P,36,4,47900,20
정수기,아이스트리플리얼냉정,베이지.다크레이,J,60,4,37900,6.4
정수기,아이스트리플리얼냉정,베이지.다크레이,J,36,4,43900,6
정수기,550 얼음냉온,블루블랙.오트베이지,S,60,4,42900,21.6
정수기,550 얼음냉온,블루블랙.오트베이지,S,36,4,44900,11.4
정수기,550 얼음냉온,블루블랙.오트베이지,P,60,4,41900,19
정수기,550 얼음냉온,블루블랙.오트베이지,P,36,4,43900,10
정수기,550 얼음냉온,블루블랙.오트베이지,J,60,4,39900,9.3
정수기,550 얼음냉온,블루블랙.오트베이지,J,36,4,41900,6.3
정수기,550 얼음냉온 P,블루블랙.오트베이지,S,60,4,43900,22.5
정수기,550 얼음냉온 P,블루블랙.오트베이지,S,36,4,45900,11.9
정수기,550 얼음냉온 P,블루블랙.오트베이지,P,60,4,42900,19.9
정수기,550 얼음냉온 P,블루블랙.오트베이지,P,36,4,44900,10.6
정수기,550 얼음냉온 P,블루블랙.오트베이지,J,60,4,40900,9.7
정수기,550 얼음냉온 P,블루블랙.오트베이지,J,36,4,42900,6.8
정수기,700 얼음냉온(리뉴얼),블루펄.오트베이지,S,60,4,48900,23.8
정수기,700 얼음냉온(리뉴얼),블루펄.오트베이지,S,36,4,50900,18.7
정수기,700 얼음냉온(리뉴얼),블루펄.오트베이지,P,60,4,46900,22.9
정수기,700 얼음냉온(리뉴얼),블루펄.오트베이지,P,36,4,48900,16.1
정수기,700 얼음냉온(리뉴얼),블루펄.오트베이지,J,60,4,43900,9.7
정수기,700 얼음냉온(리뉴얼),블루펄.오트베이지,J,36,4,45900,10.2
정수기,아이스트리플리얼냉온,베이지.다크레이,S,60,2,46900,23.2
정수기,아이스트리플리얼냉온,베이지.다크레이,S,36,2,52900,20.5
정수기,아이스트리플리얼냉온,베이지.다크레이,P,60,2,44900,22.4
정수기,아이스트리플리얼냉온,베이지.다크레이,P,36,2,50900,20
정수기,아이스트리플리얼냉온,베이지.다크레이,J,60,2,40900,7.2
정수기,아이스트리플리얼냉온,베이지.다크레이,J,36,2,46900,5.5
정수기,아이스트리플리얼냉정,베이지.다크레이,S,60,2,46900,22.4
정수기,아이스트리플리얼냉정,베이지.다크레이,S,36,2,49900,20.5
정수기,아이스트리플리얼냉정,베이지.다크레이,P,60,2,44900,21.6
정수기,아이스트리플리얼냉정,베이지.다크레이,P,36,2,47900,20
정수기,아이스트리플리얼냉정,베이지.다크레이,J,60,2,40900,6.4
정수기,아이스트리플리얼냉정,베이지.다크레이,J,36,2,43900,6
정수기,550 얼음냉온,블루블랙.오트베이지,S,60,2,44900,18.7
정수기,550 얼음냉온,블루블랙.오트베이지,S,36,2,47900,11.9
정수기,550 얼음냉온,블루블랙.오트베이지,P,60,2,43900,16.5
정수기,550 얼음냉온,블루블랙.오트베이지,P,36,2,46900,10.6
정수기,550 얼음냉온,블루블랙.오트베이지,J,60,2,41900,8
정수기,550 얼음냉온,블루블랙.오트베이지,J,36,2,44900,6.8
정수기,550 얼음냉온 P,블루블랙.오트베이지,S,60,2,45900,19.5
정수기,550 얼음냉온 P,블루블랙.오트베이지,S,36,2,48900,12.3
정수기,550 얼음냉온 P,블루블랙.오트베이지,P,60,2,44900,17.4
정수기,550 얼음냉온 P,블루블랙.오트베이지,P,36,2,47900,11
정수기,550 얼음냉온 P,블루블랙.오트베이지,J,60,2,42900,8.5
정수기,550 얼음냉온 P,블루블랙.오트베이지,J,36,2,45900,7.2
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,S,60,2,52900,22
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,s,60,4,49800,25
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,S,36,2,54900,18.2
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,,36,4,51900,19.5
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,P,60,2,50900,19
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,,60,4,47900,21.3
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,P,36,2,52900,64
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,,36,4,49900,17
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,J,60,2,47900,9.3
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,,60,4,44900,10.6
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,J,36,2,49900,10.2
정수기,700 얼음냉온P(리뉴얼),블루펄.오트베이지,,36,4,46900,11
정수기,세니타냉온,,S,60,6,27900,8.3
정수기,세니타냉온,,S,36,6,33900,14
정수기,세니타냉온,,P,60,6,25900,7
정수기,세니타냉온,,P,36,6,31900,11.5
정수기,세니타냉온,,J,60,6,23900,2.2
정수기,세니타냉온,,J,36,6,29900,4
정수기,세니타냉온,,H,60,6,24900,신8/기5
정수기,세니타냉온,,S,60,6,26900,8.1
정수기,세니타냉온,,S,36,6,32900,13.5
정수기,세니타냉온,,P,60,6,24900,6.5
정수기,세니타냉온,,P,36,6,30900,11
정수기,세니타냉온,,J,60,6,22900,2.2
정수기,세니타냉온,,J,36,6,28900,4
정수기,세니타냉온,,H,60,6,24900,신8/기5
정수기,ANNLE PLUS,,S,60,4,23900,11
정수기,ANNLE PLUS,,S,36,4,23900,4.5
정수기,ANNLE PLUS,,P,60,4,22900,8.5
정수기,ANNLE PLUS,,P,36,4,22900,2.5
정수기,ANNLE PLUS,,J,60,4,21900,6
정수기,ANNLE PLUS,,J,36,4,21900,0
정수기,ANNLE PLUS,,H,60,4,20900,3
정수기,뉴 냉온러블리트리,오트베이지.라벤다.피치,S,60,4,36900,17
정수기,뉴 냉온러블리트리,오트베이지.라벤다.피치,,60,12,34900,16
정수기,뉴 냉온러블리트리,오트베이지.라벤다.피치,P,60,4,35900,15
정수기,뉴 냉온러블리트리,오트베이지.라벤다.피치,,60,12,33900,14
정수기,뉴 냉온러블리트리,오트베이지.라벤다.피치,H,60,4,32900,15
정수기,뉴 냉온러블리트리,오트베이지.라벤다.피치,H,60,12,26900,14
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,S,60,2,56900,27.5
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,S,60,6,52900,25.7
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,S,36,2,60900,26
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,S,36,6,56900,24.5
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,P,60,2,53900,24.7
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,P,60,6,49900,23
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,P,36,2,57900,25
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,P,36,6,53900,23
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,J,60,2,51900,16
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,J,60,6,47900,14.8
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,J,36,2,55900,17
정수기,슈퍼아이스트리얼음냉온,블랙.오트베이지,J,36,6,51900,15.5
정수기,플리냉온,베이지.다크레이,S,60,2,32900,
정수기,플리냉온,베이지.다크레이,S,60,4,29900,
정수기,플리냉온,베이지.다크레이,S,36,2,39900,17
정수기,플리냉온,베이지.다크레이,S,36,4,36900,16
정수기,플리냉온,베이지.다크레이,P,60,2,30900,8.5
정수기,플리냉온,베이지.다크레이,P,60,4,27900,8
정수기,플리냉온,베이지.다크레이,P,36,2,39900,15
정수기,플리냉온,베이지.다크레이,P,36,4,36900,13.5
정수기,플리냉온,베이지.다크레이,J,60,2,28900,0
정수기,플리냉온,베이지.다크레이,J,60,4,25900,0
정수기,플리냉온,베이지.다크레이,J,36,2,35900,5.5
정수기,플리냉온,베이지.다크레이,J,36,4,32900,6
정수기,세니타냉온,베이지.다크레이,S,60,2,31900,12
정수기,세니타냉온,베이지.다크레이,S,36,2,37900,15.5
정수기,세니타냉온,베이지.다크레이,P,60,2,29900,11.5
정수기,세니타냉온,베이지.다크레이,P,36,2,35900,13
정수기,세니타냉온,베이지.다크레이,J,60,2,27900,5
정수기,세니타냉온,베이지.다크레이,J,36,2,33900,4.5
정수기,세니타냉온,베이지.다크레이,h,60,6,24900,8.3
정수기,세니타냉온,베이지.다크레이,S,60,2,30900,12
정수기,세니타냉온,베이지.다크레이,S,36,2,36900,15
정수기,세니타냉온,베이지.다크레이,P,60,2,28900,11
정수기,세니타냉온,베이지.다크레이,P,36,2,34900,12.5
정수기,세니타냉온,베이지.다크레이,J,60,2,26900,5
정수기,세니타냉온,베이지.다크레이,J,36,2,32900,4.5
정수기,세니타냉온,베이지.다크레이,J,60,6,24900,8.3
정수기,셀프냉온,"실버,화이트",S,60,4,28900,13.5
정수기,셀프냉온,"실버,화이트",S,36,4,30900,9
정수기,셀프냉온,"실버,화이트",S,60,12,24900,12
정수기,셀프냉온,"실버,화이트",S,36,12,26900,7.5
정수기,450,"실버,화이트",s,36,2,32900,
정수기,450,"실버,화이트",p,36,2,28900,
정수기,450,"실버,화이트",j,36,2,29990,
정수기,450,"실버,화이트",s,36,4,29900,
정수기,450,"실버,화이트",p,36,4,25900,
정수기,450,"실버,화이트",j,36,4,26900,
정수기,450,"실버,화이트",s,60,2,28900,
정수기,450,"실버,화이트",p,60,2,24900,
정수기,450,"실버,화이트",j,60,2,25900,
정수기,450,"실버,화이트",s,60,4,25900,
정수기,450,"실버,화이트",p,60,4,21900,
정수기,450,"실버,화이트",j,60,4,22900,
정수기,메타디지털P 냉온,베이지.피치.라벤더,S,60,4,33900,17.8
정수기,메타디지털P 냉온,베이지.피치.라벤더,S,36,4,40900,16.5
정수기,메타디지털P 냉온,베이지.피치.라벤더,P,60,4,32900,17.6
정수기,메타디지털P 냉온,베이지.피치.라벤더,P,36,4,39900,16.5
정수기,메타디지털P 냉온,베이지.피치.라벤더,J,60,4,30900,3.8
