category,product_name,color,rule_name,term_months,check_cycle_months,rental_fee,commission
공기청정기,뉴히어로2,,S,60,12,34900,19
공기청정기,뉴히어로2,,S,60,4,36900,20
공기청정기,뉴히어로2,,S,36,4,37900,16
공기청정기,뉴히어로2,,P,60,12,32900,16
공기청정기,뉴히어로2,,P,60,4,34900,17
공기청정기,뉴히어로2,,P,36,4,35900,13
공기청정기,뉴히어로2,,J,60,12,30900,7
공기청정기,뉴히어로2,,J,60,4,32900,7.5
공기청정기,뉴히어로2,,J,36,4,33900,7.5
공기청정기,뉴히어로2,화이트,H,60,4,28900,6.4
공기청정기,뉴히어로 S 2,,S,60,12,29900,16
공기청정기,뉴히어로 S 2,,S,60,4,31900,17
공기청정기,뉴히어로 S 2,,S,36,4,32900,13
공기청정기,뉴히어로 S 2,,P,60,12,27900,13.5
공기청정기,뉴히어로 S 2,,P,60,4,29900,14:11:00
공기청정기,뉴히어로 S 2,,P,36,4,30900,14:11:00
공기청정기,뉴히어로 S 2,,J,60,12,25900,6
공기청정기,뉴히어로 S 2,,J,60,4,27900,6.5
공기청정기,뉴히어로 S 2,,J,36,4,28900,6.5
공기청정기,뉴히어로 S 2,,H,60,4,26900,10.7
공기청정기,뉴히어로 S 2,,H,72,4,24900,10
공기청정기,디오청정기,화이트,S,60,4,28900,16
공기청정기,디오청정기,화이트,S,60,12,26900,15
공기청정기,디오청정기,화이트,S,60,0,25900,14.5
공기청정기,디오청정기,화이트,P,60,4,26900,15
공기청정기,디오청정기,화이트,P,60,12,25900,14.5
공기청정기,디오청정기,화이트,P,60,0,24900,14
공기청정기,디오청정기,화이트,J,60,4,26900,6.7
공기청정기,디오청정기,화이트,J,60,12,24900,5.5
공기청정기,디오청정기,화이트,J,60,0,23900,5.5
공기청정기,디오청정기,화이트,H,60,4,22900,9.1
공기청정기,디오청정기,화이트,H,60,12,18900,6
공기청정기,항균A600 S,,S,60,2,26900,15
공기청정기,항균A600 S,3등급,S,60,12,24900,14
공기청정기,항균A600 S,,S,60,0,25900,14.5
공기청정기,항균A600 S,,P,60,2,25900,14.5
공기청정기,항균A600 S,,P,60,12,23900,13.5
공기청정기,항균A600 S,,P,60,0,24900,14
공기청정기,항균A600 S,,J,60,2,24900,5.5
공기청정기,항균A600 S,,J,60,12,22900,5
공기청정기,항균A600 S,,J,60,0,23900,5.5
공기청정기,항균A600 S,,H,60,12,16900,5.6
공기청정기,항균A600 S,,H,60,4,20900,6.4
공기청정기,항균A600 S,,H,60,12,15900,6.5
공기청정기,26A-더블청정기,,S,60,12,25900,15.5
공기청정기,26A-더블청정기,,S,60,4,27900,14
공기청정기,26A-더블청정기,,S,36,4,29900,12.5
공기청정기,26A-더블청정기,,P,60,12,23900,12
공기청정기,26A-더블청정기,,P,60,4,25900,12
공기청정기,26A-더블청정기,,P,36,4,27900,10.5
공기청정기,26A-더블청정기,,J,60,12,21900,5
공기청정기,26A-더블청정기,,H,60,4,23900,0.833333333
공기청정기,26A-더블청정기,,H,36,4,25900,0.833333333
공기청정기,가습청정기AH1200,,S,60,4,27900,15.5
공기청정기,가습청정기AH1200,,S,36,4,29900,12.5
공기청정기,가습청정기AH1200,,P,60,4,25900,14.5
공기청정기,가습청정기AH1200,,P,36,4,27900,11.5
공기청정기,가습청정기AH1200,,J,60,4,25900,5.4
공기청정기,가습청정기AH1200,,J,36,4,27900,5.8
공기청정기,AD150 제습공기청정,,S,60,2,32900,18
공기청정기,AD150 제습공기청정,,S,36,2,34900,14.5
공기청정기,AD150 제습공기청정,,P,60,2,30900,17
공기청정기,AD150 제습공기청정,,P,36,2,32900,13.5
공기청정기,AD150 제습공기청정,,J,60,2,28900,6.5
공기청정기,AD150 제습공기청정,,J,36,2,31900,7
공기청정기,AD150 제습공기청정,,H,60,6,22900,12.5
공기청정기,AD150 제습공기청정,,H,,,,
공기청정기,AD150 제습공기청정,,H,,,,
공기청정기,하이마운틴33/48평,,S,36,2,53900,22.5
공기청정기,하이마운틴33/48평,,S,36,4,50900,21
공기청정기,하이마운틴33/48평,,S,60,2,49900,24.5
공기청정기,하이마운틴33/48평,,S,60,4,47900,24
공기청정기,하이마운틴33/48평,,P,36,2,51900,21.5
공기청정기,하이마운틴33/48평,,P,36,4,48900,20.5
공기청정기,하이마운틴33/48평,,H,60,2,47900,24
공기청정기,하이마운틴33/48평,,H,60,4,45900,23
공기청정기,하이마운틴33/48평,,J,36,2,49900,11
공기청정기,하이마운틴33/48평,,J,36,4,46900,10.5
공기청정기,하이마운틴33/48평,,J,60,2,45900,10.5
공기청정기,하이마운틴33/48평,,J,60,4,43900,10
공기청정기,하이마운틴33/48평,,S,36,2,55900,23
공기청정기,하이마운틴33/48평,,S,36,4,52900,21
공기청정기,하이마운틴33/48평,,H,60,2,51900,25.5
공기청정기,하이마운틴33/48평,,H,60,4,49900,24.5
공기청정기,하이마운틴33/48평,,P,36,2,53900,22.5
공기청정기,하이마운틴33/48평,,P,36,4,50900,21
공기청정기,하이마운틴33/48평,,P,60,2,49900,24.5
공기청정기,하이마운틴33/48평,,P,60,4,47900,24
비데,"B350 (쾌,건) / 소형변좌",,S,48,4,15900,5
비데,"B350 (쾌,건) / 소형변좌",,S,36,4,18900,5.5
비데,"B350 (쾌,건) / 소형변좌",,P,48,4,14900,4.5
비데,"B350 (쾌,건) / 소형변좌",,P,36,4,17900,4.5
비데,"B350 (쾌,건) / 소형변좌",,H,48,12,12900,2
비데,"B350 (쾌,건) / 소형변좌",,H,48,8,14900,7
비데,"B350 (쾌,건,탈)",,S,48,4,16900,5.5
비데,"B350 (쾌,건,탈)",,S,36,4,19900,5.5
비데,"B350 (쾌,건,탈)",,P,48,4,15900,4.5
비데,"B350 (쾌,건,탈)",,P,36,4,18900,5
비데,"B350 (쾌,건,탈)",,J,48,4,14900,3
비데,"B350 (쾌,건,탈)",,J,36,4,17900,3
비데,"B350 (쾌,건,탈)",,J,,,,
비데,"B350 (쾌,건,탈,자동)",,S,48,4,18900,6
